Ano;Gasto_Educacao_pct_PIB;Taxa_Desemprego
2010;4.60028982162476;7.21826756521545
2011;4.14937019348145;6.71534566285068
2012;4.76829504966736;6.42118292240463
2013;4.87855005264282;6.37856594564285
2014;4.69057488441467;6.18310613899891
2015;4.44749157539063;6.67695891386519
2016;4.41408840162469;7.73682468877475
2017;4.40769505500793;8.02820612705932
2018;4.46145347505506;7.93331984460849
2019;4.51068019866943;8.00061467672947
2020;4.53493916058743;10.214072797585
2021;4.08717467298944;9.14468415154642
2022;3.86129930773508;6.93153209123053
2023;3.81964993476868;6.19254754786298
2024;;5.86943268920785
2025;;5.45906708114628
